datetime,level_1,0,prop
2020-04-09,5g,3.0,3.7037037037037033
2020-04-09,bilan,6.0,7.4074074074074066
2020-04-09,complot,7.0,8.641975308641975
2020-04-09,experts,3.0,3.7037037037037033
2020-04-09,politique,14.0,17.28395061728395
2020-04-09,laboratoire,2.0,2.4691358024691357
2020-04-09,qanon,2.0,2.4691358024691357
2020-04-09,entourage,14.0,17.28395061728395
2020-04-09,chine,10.0,12.345679012345679
2020-04-10,reseaux_sociaux,26.0,50.0
2020-04-10,virus,31.0,59.61538461538461
2020-04-10,traitement,8.0,15.384615384615385
2020-04-10,masque,1.0,1.9230769230769231
2020-04-10,5g,,
2020-04-10,bilan,6.0,11.538461538461538
2020-04-10,complot,7.0,13.461538461538462
2020-04-10,experts,2.0,3.8461538461538463
2020-04-10,politique,4.0,7.6923076923076925
2020-04-10,laboratoire,2.0,3.8461538461538463
2020-04-10,qanon,,
2020-04-10,entourage,6.0,11.538461538461538
2020-04-10,chine,5.0,9.615384615384617
2020-04-11,reseaux_sociaux,48.0,67.6056338028169
2020-04-11,virus,30.0,42.25352112676056
2020-04-11,traitement,5.0,7.042253521126761
2020-04-11,masque,3.0,4.225352112676056
2020-04-11,5g,,
2020-04-11,bilan,8.0,11.267605633802818
2020-04-11,complot,12.0,16.901408450704224
2020-04-11,experts,1.0,1.4084507042253522
2020-04-11,politique,5.0,7.042253521126761
2020-04-11,laboratoire,3.0,4.225352112676056
2020-04-11,qanon,,
2020-04-11,entourage,8.0,11.267605633802818
2020-04-11,chine,5.0,7.042253521126761
2020-04-12,reseaux_sociaux,38.0,67.85714285714286
2020-04-12,virus,28.0,50.0
2020-04-12,traitement,7.0,12.5
2020-04-12,masque,,
2020-04-12,5g,1.0,1.7857142857142856
2020-04-12,bilan,4.0,7.142857142857142
2020-04-12,complot,4.0,7.142857142857142
2020-04-12,experts,,
2020-04-12,politique,6.0,10.714285714285714
2020-04-12,laboratoire,1.0,1.7857142857142856
2020-04-12,qanon,,
2020-04-12,entourage,11.0,19.642857142857142
2020-04-12,chine,8.0,14.285714285714285
2020-04-13,reseaux_sociaux,66.0,56.41025641025641
2020-04-13,virus,47.0,40.17094017094017
2020-04-13,traitement,15.0,12.82051282051282
2020-04-13,masque,1.0,0.8547008547008548
2020-04-13,5g,5.0,4.273504273504273
2020-04-13,bilan,10.0,8.547008547008547
2020-04-13,complot,18.0,15.384615384615385
2020-04-13,experts,5.0,4.273504273504273
2020-04-13,politique,22.0,18.803418803418804
2020-04-13,laboratoire,,
2020-04-13,qanon,1.0,0.8547008547008548
2020-04-13,entourage,20.0,17.094017094017094
2020-04-13,chine,8.0,6.837606837606838
2020-04-14,reseaux_sociaux,55.0,56.70103092783505
2020-04-14,virus,48.0,49.48453608247423
2020-04-14,traitement,22.0,22.68041237113402
2020-04-14,masque,,
2020-04-14,5g,3.0,3.0927835051546393
2020-04-14,bilan,8.0,8.24742268041237
2020-04-14,complot,6.0,6.185567010309279
2020-04-14,experts,3.0,3.0927835051546393
2020-04-14,politique,18.0,18.556701030927837
2020-04-14,laboratoire,2.0,2.0618556701030926
2020-04-14,qanon,1.0,1.0309278350515463
2020-04-14,entourage,14.0,14.432989690721648
2020-04-14,chine,12.0,12.371134020618557
2020-04-15,reseaux_sociaux,62.0,63.91752577319587
2020-04-15,virus,43.0,44.329896907216494
2020-04-15,traitement,9.0,9.278350515463918
2020-04-15,masque,2.0,2.0618556701030926
2020-04-15,5g,2.0,2.0618556701030926
2020-04-15,bilan,3.0,3.0927835051546393
2020-04-15,complot,11.0,11.34020618556701
2020-04-15,experts,4.0,4.123711340206185
2020-04-15,politique,19.0,19.587628865979383
2020-04-15,laboratoire,3.0,3.0927835051546393
2020-04-15,qanon,1.0,1.0309278350515463
2020-04-15,entourage,10.0,10.309278350515463
2020-04-15,chine,16.0,16.49484536082474
2020-04-16,reseaux_sociaux,61.0,70.93023255813954
2020-04-16,virus,45.0,52.32558139534884
2020-04-16,traitement,3.0,3.488372093023256
2020-04-16,masque,,
2020-04-16,5g,1.0,1.1627906976744187
2020-04-16,bilan,7.0,8.13953488372093
2020-04-16,complot,8.0,9.30232558139535
2020-04-16,experts,4.0,4.651162790697675
2020-04-16,politique,18.0,20.930232558139537
2020-04-16,laboratoire,6.0,6.976744186046512
2020-04-16,qanon,,
2020-04-16,entourage,12.0,13.953488372093023
2020-04-16,chine,13.0,15.11627906976744
2020-04-17,reseaux_sociaux,59.0,64.13043478260869
2020-04-17,virus,44.0,47.82608695652174
2020-04-17,traitement,7.0,7.608695652173914
2020-04-17,masque,1.0,1.0869565217391304
2020-04-17,5g,,
2020-04-17,bilan,8.0,8.695652173913043
2020-04-17,complot,12.0,13.043478260869565
2020-04-17,experts,20.0,21.73913043478261
2020-04-17,politique,9.0,9.782608695652174
2020-04-17,laboratoire,12.0,13.043478260869565
2020-04-17,qanon,,
2020-04-17,entourage,11.0,11.956521739130435
2020-04-17,chine,16.0,17.391304347826086
2020-04-18,reseaux_sociaux,60.0,68.96551724137932
2020-04-18,virus,29.0,33.33333333333333
